,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
104,Dirk Nowitzki,32,True,1,1,1,4,1,6,1,1,5,5,3,7,7,1,6,4,1
105,Jason Terry,33,False,1,5,2,3,2,4,5,6,2,1,6,4,3,2,4,3,3
106,Shawn Marion,32,False,1,4,3,6,4,2,4,3,4,4,3,6,5,3,5,6,2
107,Tyson Chandler,28,False,1,3,5,6,3,1,2,2,6,2,1,3,8,4,2,6,7
108,J.J. Barea,26,False,1,6,4,5,6,3,5,5,2,7,6,5,3,5,8,5,6
109,Jason Kidd,37,False,1,2,6,2,5,6,3,4,1,2,2,8,1,6,7,2,3
110,DeShawn Stevenson,29,False,1,7,7,1,7,8,7,7,7,5,5,2,2,7,3,1,3
111,Ian Mahinmi,24,False,8,8,8,6,7,4,8,8,8,8,6,1,5,8,1,6,8
112,Kobe Bryant,31,True,1,2,1,1,1,3,2,2,1,1,3,8,8,1,6,2,3
113,Pau Gasol,29,False,1,1,2,6,2,1,1,1,2,5,1,7,4,2,2,6,4
114,Metta World Peace,30,False,1,3,3,2,5,3,4,5,4,2,4,6,6,3,7,1,6
115,Derek Fisher,35,False,1,4,5,3,3,6,6,6,3,4,7,4,7,4,5,3,2
116,Lamar Odom,30,False,1,5,4,5,6,5,3,3,4,6,4,5,5,5,1,5,7
117,Andrew Bynum,22,False,1,6,6,6,4,2,4,4,8,7,2,2,3,6,3,6,5
118,Shannon Brown,24,False,1,8,7,6,7,8,8,8,7,8,6,1,1,7,4,6,1
119,Jordan Farmar,23,False,1,7,7,3,8,7,7,7,6,3,7,3,1,7,8,3,8
120,Kobe Bryant,30,True,1,1,1,2,1,5,3,4,1,2,2,8,3,1,5,4,3
121,Pau Gasol,28,False,1,2,2,6,2,1,1,1,2,5,1,5,4,2,2,6,4
122,Lamar Odom,29,False,1,5,3,4,3,1,2,2,6,4,3,7,7,3,3,1,5
123,Trevor Ariza,23,False,1,3,5,1,6,4,4,3,4,1,5,5,5,4,8,3,7
124,Derek Fisher,34,False,1,4,4,3,4,5,5,6,3,3,6,2,5,4,4,2,1
125,Andrew Bynum,21,False,1,6,6,6,4,1,6,5,7,6,4,2,7,6,7,6,6
126,Luke Walton,28,False,1,7,7,6,7,5,7,7,5,8,6,1,2,7,1,6,7
127,Jordan Farmar,22,False,1,8,8,5,8,8,8,8,8,6,6,2,1,8,6,5,1
128,Paul Pierce,30,True,1,2,2,3,1,6,2,3,2,5,5,8,8,1,4,4,4
129,Ray Allen,32,False,1,1,3,1,2,2,3,2,4,3,2,6,4,2,2,1,2
130,Kevin Garnett,31,False,1,3,1,5,3,1,1,1,3,1,1,7,4,3,5,5,5
131,Rajon Rondo,21,False,1,4,4,5,4,3,5,4,1,2,3,5,2,4,7,5,8
132,James Posey,31,False,1,5,5,2,6,6,4,4,7,3,6,4,4,5,3,2,1
133,Leon Powe,24,False,1,8,6,5,5,3,7,6,8,8,7,1,2,6,1,5,7
134,Eddie House,29,False,8,7,7,4,8,8,8,8,5,7,7,1,1,7,8,3,3
135,P.J. Brown,38,False,1,6,8,5,7,5,6,6,6,6,3,1,7,8,6,5,6
136,Tony Parker,24,True,1,2,1,3,3,4,4,4,2,4,3,8,3,1,2,1,5
137,Tim Duncan,30,False,1,3,2,6,2,1,1,1,1,1,1,7,7,2,4,6,4
138,Manu GinÃ³bili,29,False,1,4,3,1,1,6,2,2,3,1,3,6,8,3,5,2,1
139,Bruce Bowen,35,False,1,1,4,2,6,4,3,3,4,5,2,2,5,4,7,4,7
140,Fabricio Oberto,31,False,1,5,4,6,6,2,5,5,6,6,3,5,6,5,3,6,6
141,Francisco Elson,30,False,1,7,6,6,4,3,8,6,8,6,3,2,3,6,1,6,2
142,Michael Finley,33,False,1,6,6,5,5,6,6,7,5,1,3,1,2,7,8,5,3
143,Brent Barry,35,False,1,8,8,3,8,6,7,8,6,6,3,2,1,8,6,3,8
144,Dwyane Wade,24,True,1,1,1,4,1,3,2,2,2,1,2,8,5,1,4,3,1
